Date,Usage,Temperature,Event_Start,Event_End,Attendance,Total_sq_ft,Hall_A,Meeting_Room_A,Main_Room,Hall_B,Meeting_Room_B,Hall_C,Meeting_Room_C,Hall_D,Meeting_Room_D,Terrace,Parking
7/5/18,119979.612,95.39583333,7/5/18,7/5/18,10000,3550,0,1,0,0,0,0,0,0,0,0,0
7/5/18,119979.612,95.39583333,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/6/18,125434.512,99.47916667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/6/18,125434.512,99.47916667,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/7/18,121669.344,99.60416667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/7/18,121669.344,99.60416667,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/8/18,113311.008,97.92361111,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/8/18,113311.008,97.92361111,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/9/18,102648.312,95.20833333,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/10/18,97095.744,86.25,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/11/18,121300.992,89.375,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/12/18,134254.584,87.90972222,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/13/18,147553.308,88.375,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/14/18,167731.308,91.98611111,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/14/18,167731.308,91.98611111,7/14/18,7/17/18,6500,635444,1,1,1,1,1,0,0,0,0,0,0
7/15/18,170373.456,92.02083333,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/15/18,170373.456,92.02083333,7/14/18,7/17/18,6500,635444,1,1,1,1,1,0,0,0,0,0,0
7/16/18,169176.652,98.16666667,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/16/18,169176.652,98.16666667,7/14/18,7/17/18,6500,635444,1,1,1,1,1,0,0,0,0,0,0
7/17/18,192005.82,99.33333333,7/17/18,7/19/18,5000,248861,0,0,0,0,0,0,1,0,0,0,0
7/17/18,192005.82,99.33333333,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/17/18,192005.82,99.33333333,7/14/18,7/17/18,6500,635444,1,1,1,1,1,0,0,0,0,0,0
7/18/18,175425.696,97.89583333,7/17/18,7/19/18,5000,248861,0,0,0,0,0,0,1,0,0,0,0
7/18/18,175425.696,97.89583333,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/19/18,178732.188,96.38819444,7/17/18,7/19/18,5000,248861,0,0,0,0,0,0,1,0,0,0,0
7/19/18,178732.188,96.38819444,7/19/18,7/21/18,10000,489163,0,1,0,1,1,0,0,0,0,0,0
7/19/18,178732.188,96.38819444,7/6/18,7/22/18,15000,512128,0,0,0,0,0,1,1,0,0,0,0
7/20/18,176388.768,92.54166667,7/20/18,7/21/18,1500,57883,0,0,0,0,0,1,1,0,0,0,0
7/20/18,176388.768,92.54166667,7/19/18,7/21/18,10000,489163,0,1,0,1,1,0,0,0,0,0,0
